distance,x,y,z,U_x,U_y,U_z,k,omega
0.05925,2.5,-0.19075,3.46945e-18,0.335011,-0.00996599,-1.4149e-20,0.0125025,6.25264
0.06,2.5,-0.19,0,0.336107,-0.010094,-1.7677e-20,0.0125765,6.2372
0.06075,2.5,-0.18925,0,0.337204,-0.010222,-2.12051e-20,0.0126504,6.22175
0.0615,2.5,-0.1885,3.46945e-18,0.3383,-0.01035,-2.47332e-20,0.0127244,6.20631
0.06225,2.5,-0.18775,0,0.339396,-0.0104781,-2.82613e-20,0.0127983,6.19086
0.063,2.5,-0.187,0,0.340493,-0.0106061,-3.17894e-20,0.0128723,6.17542
0.06375,2.5,-0.18625,-1.73472e-18,0.341589,-0.0107341,-3.53175e-20,0.0129462,6.15998
0.0645,2.5,-0.1855,-1.73472e-18,0.342613,-0.010853,-4.12759e-20,0.0130155,6.14502
0.06525,2.5,-0.18475,-8.67362e-19,0.343612,-0.0109688,-4.80691e-20,0.013083,6.13023
0.066,2.5,-0.184,0,0.344611,-0.0110845,-5.48624e-20,0.0131506,6.11544
0.06675,2.5,-0.18325,3.46945e-18,0.34561,-0.0112003,-6.16556e-20,0.0132182,6.10065
0.0675,2.5,-0.1825,2.76472e-18,0.346644,-0.0113183,-6.63286e-20,0.0132859,6.0871
0.06825,2.5,-0.18175,1.73472e-18,0.347881,-0.0114493,-5.87369e-20,0.0133544,6.08075
0.069,2.5,-0.181,3.46945e-18,0.349118,-0.0115803,-5.11452e-20,0.0134229,6.07441
0.06975,2.5,-0.18025,1.73472e-18,0.350355,-0.0117113,-4.35535e-20,0.0134913,6.06806
0.0705,2.5,-0.1795,0,0.351592,-0.0118422,-3.59617e-20,0.0135598,6.06171
0.07125,2.5,-0.17875,3.46945e-18,0.352777,-0.0119688,-2.95214e-20,0.0136256,6.05599
0.072,2.5,-0.178,0,0.353919,-0.0120918,-2.40215e-20,0.0136892,6.05076
0.07275,2.5,-0.17725,3.46945e-18,0.355061,-0.0122149,-1.85215e-20,0.0137528,6.04554
0.0735,2.5,-0.1765,5.20417e-18,0.356203,-0.0123379,-1.30215e-20,0.0138164,6.04031
0.07425,2.5,-0.17575,5.20417e-18,0.357345,-0.0124609,-7.52159e-21,0.01388,6.03509
0.075,2.5,-0.175,6.93889e-18,0.358487,-0.0125839,-2.02164e-21,0.0139436,6.02987
0.07575,2.5,-0.17425,6.93889e-18,0.359629,-0.012707,3.47832e-21,0.0140072,6.02464
0.0765,2.5,-0.1735,8.67362e-18,0.36077,-0.01283,8.97828e-21,0.0140708,6.01942
0.07725,2.5,-0.17275,1.04083e-17,0.361818,-0.0129421,1.53577e-20,0.0141293,6.01415
0.078,2.5,-0.172,1.04083e-17,0.362857,-0.0130534,2.18033e-20,0.0141874,6.00888
0.07875,2.5,-0.17125,1.12757e-17,0.363897,-0.0131648,2.8249e-20,0.0142456,6.00362
0.0795,2.5,-0.1705,1.21431e-17,0.364937,-0.0132761,3.46946e-20,0.0143037,5.99835
0.08025,2.5,-0.16975,1.21431e-17,0.365977,-0.0133874,4.11402e-20,0.0143619,5.99308
0.081,2.5,-0.169,1.36609e-17,0.367146,-0.0135045,4.33429e-20,0.0144186,5.99063
0.08175,2.5,-0.16825,1.34441e-17,0.368453,-0.0136278,4.10284e-20,0.0144738,5.99119
0.0825,2.5,-0.1675,1.38778e-17,0.369759,-0.0137511,3.8714e-20,0.014529,5.99174
0.08325,2.5,-0.16675,1.56125e-17,0.371066,-0.0138743,3.63995e-20,0.0145843,5.9923
0.084,2.5,-0.166,1.21431e-17,0.372372,-0.0139976,3.40851e-20,0.0146395,5.99285
